語	級別	舊	漢字・原文	備註	發音	中文意思
だい	2		大		1	大、大學
だい	2		台		1	高台、台地
だい	2		題		1	題目、命題
だい〜	2		第〜		1	第〜
たいいく	2		体育		1	體育
だいいち	1		第一	副詞	1	首先、第一
たいいん（する）	3		退院（する）		0	出院
たいおう	1		対応		0	對應、符合
たいおん	2		体温		0,1	體溫
たいか	1		大家		1	權威、名門
たいか	1		退化		1	退步、退化
たいかい	2		大会		0	大會
たいがい	1		大概		0	大概
たいかく	1		体格		0	體格
たいがく	1		退学		0	退學
だいがく	4		大学		0	大學
だいがくいん	2		大学院		4	研究所
だいがくせい	3		大学生		3	大學生
たいき	2		大気		1	大氣
たいきん	1		大金		0	巨款
だいきん	2		代金		0,1	貸款
だいく	2		大工		1	木匠
たいぐう	1		待遇		0	待遇
たいくつ	2		退屈		0	無聊
たいけい	2		体系		0	體系、系統
たいけつ	1		対決		0	對質
たいけん	1		体験		0	體驗
たいこ	2		太鼓		0	鼓
たいこう	1		対抗		0	對抗
たいざい	2		滞在		0	停留
たいさく	2		対策		0	對策
たいし	2		大使		1	大使
たいじ	1		退治		0	懲辦、撲滅
だいじ	3		大事		3	重要的
たいしかん	4		大使館		3	大使館
たいした	2		大した		1	了不起的、（與否定語呼應）沒什麼了不起的
たいして	2		大して		1	（與否定語呼應）並不那麼
たいしゅう	1		大衆		0	大眾
たいじゅう	2		体重		0	體重
たいしょ	1		対処		1	應付
たいしょう	2		対象		0	對象
たいしょう	2		対照		0	對照、對比
だいしょう	2		大小		1	大小
だいじょうぶ	4		大丈夫		3	不要緊、沒關係
たいしょく	1		退職		0	退休、退職
だいじん	2		大臣		1	國務大臣
だいすき	4		大好き		1	最喜歡
たいする	2		対する		3	面對、對待、對於
だいする	1		題する		3	標題
たいせい	2		体制		0	體制、當局
たいせい	1		態勢		0	狀態
たいせき	2		体積		1	體積
たいせつ	4		大切		0	重要、寶貴
たいせん	2		大戦		0	大戰
たいそう	2		体操		0	體操
たいそう	2		大層		1	非常
だいたい	3		大体		0	大致、基本上、根本
たいだん	1		対談		0	對談
だいたん	1		大胆		3	大膽
たいてい	3	*4	大抵		0	大抵、大體上、基本上
たいど	2		態度		1	態度
たいとう	1		対等		0	對等、同等
だいとうりょう	2		大統領		3	總統
だいどころ	4		台所		0	廚房
タイトル	1		title		1	標題、題目
だいなし	1		台無し		0	弄壞
たいのう	1		滞納		0	拖欠
たいはん	2		大半		0,3	過半
たいひ	1		対比		1,0	對比
タイピスト	1		typist		3	打字員
だいひょう	2		代表		0	代表
たいぶ	1		大部		1	大量、大部頭
タイプ	3		type		1	類型、打字
だいぶ	3		大分	副詞	0	很、相當
たいふう	3		台風		3	颱風
だいぶぶん	2		大部分		3	大部分
タイプライター	2		typewriter		4	打字機
だいぶん	2		大分	副詞	0	很、相當
たいへん	4		大変「たいへん暑い」	副詞	0	很、非常
たいへん	4		大変「それはたいへんですね」	形容動詞	0	嚴重、不得了
だいべん	1		代弁		0	為…代言、代為辯解、替人賠償
だいべん	1		大便		0,3	大便
たいほ	2		逮捕		1	逮捕
たいぼう	1		待望		0	期望
たいぼく	2		大木		0	很大的樹木
だいほん	1		台本		0	劇本、腳本
タイマー	1		timer		1	定時器
たいまん	1		怠慢		0	怠慢
タイミング	1		timing		0	時機
タイム	1		time		1	時間、時、時代
タイムリー	1		timely		1	適時、及時
だいめい	2		題名		0	題名
だいめいし	2		代名詞		3	代名詞
たいめん	1		対面		0	見面
タイヤ	2		tire		0,1	輪胎、車胎
ダイヤ	2		diagram/diamond		0,1	鐵路營運圈、列車時刻表//鑽石、方塊
ダイヤグラム	0	*2	diagram		0,1	鐵路營運圈、列車時刻表
ダイヤモンド	2		diamond		4	鑽石
ダイヤル	2		dial		0	撥號盤、刻度盤
たいよう	2		太陽		1	太陽
だいよう	1		代用		0	代用
たいら	2		平ら		0	平、平坦
だいり	2		代理		0	代理
たいりく	2		大陸		0,1	大陸
たいりつ	2		対立		0	對立
たいりょく	1		体力		1	體力
タイル	1		tile		1	磁磚、瓦片
たいわ	1		対話		0	對話
たいわん	0		台湾		3	臺灣
たうえ	2		田植え		3	插秧
ダウン	1		down		1	下降、倒下、羽毛
たえず	2		絶えず		1	不斷地
たえる	1		堪える、耐える		2	耐、忍耐、能夠
たえる	1		絶える、断える		2	斷絕
だえん	2		楕円		0	橢圓
たおす	2		倒す		2	推倒、弄倒
タオル	2		towel		1	毛巾
たおれる	3		倒れる		3	倒塌
だが	2		だが	接続詞	1	但是
たかい	4		高い「高い山」		2	高
たかい	4		高い「値段が高い」		2	(價錢)貴
たがい	2		互い		0	彼此、相互
だかい	1		打開		0	打開
たかまる	1		高まる		3	高漲
たかめる	2		高める		3	提高
たがやす	2		耕す		3	耕
たから	2		宝		0	寶
だから	3		だから	接続詞	1	因為、因此、所以
たき	2		滝		0	瀑布
たきび	1		焚き火		0	篝火
だきょう	1		妥協		0	妥協
たく	2		宅		0	家
たく	2		炊く		0	煮、燒
だく	2		抱く		0	抱、孵
たくさん	4		沢山	名詞//副詞	3//0	許多、很多
タクシー	4		taxi		1	計程車
たくましい	1		たくましい		4	健壯、旺盛
たくみ	1		巧み		1,0	技巧、巧妙
たくわえる	2		蓄える		0,3,4	積蓄、儲存
たけ	2		竹		0	竹
たけ	1		丈		2	長度、長短
だけ	4	*1	〜だけ		0	只〜
だげき	1		打撃		0	打擊
だけつ	1		妥結		0	妥協、達成協議
だけど	2		だけど		0	但是
ださく	1		駄作		0	拙劣的作品
たしか	3		確か「〜3年前だった」		1	的確、大概
たしか	2		確か		1	的確、確實、確定
たしかめる	2		確かめる		4	査認、確認
たしざん	1		足し算		2	加法
たしょう	2		多少		0	多少、一點兒
たす	3		足す		0	足夠
だす	4		出す		1	拿出、提出
だす	3		〜出す			〜起來
たすうけつ	1		多数決		2	多數表決
たすかる	2		助かる		3	得救、省力
たすけ	1		助け		3	幫助
たすける	2		助ける		3	資助、救助、助長
たずさわる	1		携わる		0,4	參與、從事
たずねる	3		訪ねる		3	拜訪
たずねる	3		尋ねる		3	打聽、尋問
ただ	2		只「無料」		1	免費、自給
ただ	2		只、唯		1	普通、只是、只
ただいま。	3		只今。	挨拶語	4	我回來了
たたかい	2		戦い		0	戰爭、鬥爭
たたかう	2		戦う		0	戰鬥、作戰
たたく	2		叩く		2	敲打、拍、攻擊
ただし	2		但し		1	但、但是
ただしい	3		正しい		3	正確
ただちに	2		直ちに		1	立刻
たたみ	3		畳		3	塌塌米
たたむ	2		畳む		0	折疊
ただよう	1		漂う		3	空間或者水面上漂
たち	4		〜達			表示人的複數
たちあがる	2		立上る		0,4	立起、伸起
たちさる	1		立去る		0	走開、離開
たちどまる	2		立止まる		0,4	站住
たちば	2		立場		1,3	立場
たちまち	2		忽ち		0	一會兒
たちよる	1		立寄る		0,3	挨近靠近
たつ	4		立つ		1	立、站、起
たつ	2		建つ		1	建
たつ	2		発つ		1	出發
たつ	2		経つ		1	經過
たつ	1		断つ		1	截、斷
だっこ	1		抱っこ		1	〔幼兒語〕抱
たっしゃ	1		達者		0	健康、健壮、精通
だっしゅつ	1		脱出		0	逃脫
たっする	2		達する		0,3	達成、到達
だっする	2		脱する		0,3	脫離、逃出
たっせい	1		達成		0	達成、完成
だっせん	2		脱線		0	（火車，電車等）脫軌、（説話等）離題
たった	2		唯		0	只、僅
だったい	1		脱退		0	退出、離脱
だったら	1		だったら		1	如果
だって	2		だって		1	話雖如此
たっぷり	2		たっぷり		3	足夠、充分
たて	4	*2	縦		1	豎、長
たて	1		盾		1	盾
だて	3	*0	〜建て			（房屋建築樣式）
たてかえる	1		立替える		0,3	墊付
たてまえ	1		建前		0,2	上梁
たてまつる	1		奉る		4	奉獻
たてもの	4		建物		2,3	房屋、建築物
たてる	3		立てる		2	直立
たてる	3		建てる		2	建立
だと	1		だと	接続詞	1	是
だとう	2		妥当		0	妥當
たどうし	1		他動詞		2	他動詞
たとえ	2		例え	副詞	2	即使
たとえ	1		例え		0,2	喻譬、例子
たとえば	3		例えば		2	例如
たとえる	2		例える		3	比喻
たどりつく	1		辿り着く		2,4	好不容易走到
たどる	1		辿る		0,2	前進、探索、沿着…走去
たな	3		棚		0	架子、擱版
たに	2		谷		2	谷
たにん	2		他人		0	其他人
たね	2		種		1	種子
たのしい	4		楽しい		3	快樂、愉快
たのしみ	3		楽しみ		3,4	快樂、期待
たのしむ	3	*2	楽しむ		3	享樂、快樂
たのみ	2		頼み		1,3	懇求、乞求、依賴
たのむ	4		頼む		2	拜託、懇求
たのもしい	2		頼もしい		4	可靠的、可望
たば	2		束		1	捆、把、束
たばこ	4		煙草		0	香煙、菸
たばねる	1		束ねる		3	紮、綑、紮
たび	2		足袋		1	日本的布襪子
たび	2		度		2	時候
たび	2		旅		2	旅行
たびたび	2		度々		0	屢次
だぶだぶ	1		だぶだぶ		0//1	過於寬大、肌肉鬆弛//滿、肥大
ダブル	1		double	名詞	1	雙(份)、兩倍
ダブる	2		double	動詞	2	重複
たぶん	4		多分		1	大概、或許
たべもの	4		食べ物		2,3	吃的東西
たべる	4		食べる		2	吃
たほう	1		他方		2	他方、另一方面
たぼう	1		多忙		0	繁忙、忙碌
たま	2		偶		0	很少有
たま	2		玉、弾、球		2	子彈、玉、球
たまう	1		給う		2	〔尊敬語〕對對方動作的尊敬
たまご	4		卵		2	卵、雞蛋
たましい	1		魂		1	靈魂
だます	2		騙す		2	欺騙
たまたま	2		偶々		0	偶爾、偶然
たまに	3		偶に		0	偶爾、偶然
たまらない	2		堪らない		0	受不了的
たまり	1		溜り		0	積聚、大豆醤油
たまる	2		溜まる		0	積存、積壓
だまる	2		黙る		2	沉默無言
たまわる	1		賜る		3	〔謙譲語〕賞賜
ダム	2		dam		1	水庫
ため	3		為		2	利益、為了…由於
だめ	3		駄目		2	無用、沒用、不行、無望的
ためいき	2		溜息		3	嘆氣
ためし	2		試し		3	嚐試、企圖
ためす	2		試す		2	試驗
ためらう	2		躊躇う		3	躊躇、猶豫
ためる	2		溜める		0	存、蓄
たもつ	1		保つ		2	保住、維持
たやすい	1		容易い		0,3	容易的
たよう	1		多様		0	各式各樣
たより	2		便り		1	音信、消息
たよる	2		頼る		2	依靠、依賴
だらけ	2		〜だらけ			盡是〜
だらしない	2		だらし無い		4	不檢點的、沒出息
たりる	3		足りる		0	足夠、足以
たる	2		足る		0	滿足、足以
だるい	1		だるい		0,2	慵懶的
たるみ	1		弛み		0	遲緩
たるむ	1		弛む		0	鬆懈
だれ	4		誰		1	誰、無論什麼人
だれか	4	*2	誰か		1	誰啊
たれる	1		垂れる		2	垂懸、懸掛
タレント	1		talent		0,1	演員、才能
タワー	1		tower		1	塔、塔樓
たん	1		単〜			單次
だん	2		〜団		1	已某種目的所聚集的組織
だん	2		段		1	段、層、等級
たん〜	2		短〜		1	短的、不足、缺點
たんい	2		単位		1	單位
たんいつ	1		単一		0	單一
たんか	1		短歌		1	日本的詩歌（由五，七，五，七，七共五句）
たんか	1		担架		1	擔架
だんかい	2		段階		0	階段、階梯
たんき	2		短期		1	短期
たんき	1		短気		1	沒耐性
だんけつ	1		団結		0	團結
たんけん	1		探検		0	探險
だんげん	1		断言		3	斷言、斷定
たんご	2		単語		0	單字
たんこう	2		炭鉱		0	煤礦
だんし	2		男子		1	男子
たんしゅく	1		短縮		0	縮短、縮減
たんじゅん	2		単純		0	單純、簡單
たんしょ	2		短所		1	缺點
たんじょう	2		誕生		0	誕生
たんじょうび	4		誕生日		3	生日
たんす	2		箪笥		0	衣櫥
ダンス	2		dance		1	跳舞
たんすい	2		淡水		0	淡水
だんすい	2		断水		0	停水
たんすう	2		単数		3	單數
だんせい	3		男性		0	男性
だんぜん	1		断然		0	斷然、斷乎
たんそ	1		炭素		1	碳
たんだい	1		短大		0	短期大學
だんたい	2		団体		0	團體
だんだん	4		段々		0,3	逐漸、漸漸
だんち	2		団地		0	社區、建築區
たんちょう	1		単調		0	單調
だんてい	2		断定		0	斷定、判定
たんとう	2		担当		0	擔當、擔負
たんどく	1		単独		0	單獨、獨自
だんな	1		旦那		0	丈夫、主人、先生
たんなる	2		単なる		1	僅、只
たんに	2		単に		1	僅僅、單單、只是
たんぱ	1		短波		1	短波
たんぱくしつ	1		蛋白質		3,4	蛋白質
ダンプ	1		dump		1	有傾倒台的貨車、自動卸貨卡車
たんぺん	2		短編		0	短編
だんぼう	3		暖房		0	暖氣、暖屋裝置
だんめん	1		断面		3	斷面、截面
だんりょく	1		弾力		0,1	彈性
ち	3		血		0	血液
ち	2		地		1	大地、地面
ちあん	1		治安		0,1	治安
ちい	2		地位		1	地位、職位
ちいき	2		地域		1	地域、地區
ちいさい	4		小さい		3	(體積等)小
ちいさな	4	*3	小さな		1	微小的
チーズ	2		cheese		1	起司
チーム	2		team		1	隊(伍)、團隊、小組
チームワーク	1		teamwork		4	配合、協同動作
ちえ	2		知恵		2	智慧
チェック（する）	3	*0	check		1	查對、檢查
チェンジ	1		change		1	交換
ちか	2		地下		2	地下
ちかい	4		近い		2	(距離)近、接近的
ちがい	2		違い		0	差異、差別
ちがいない	2		違いない		4	對的、沒錯的
ちかう	2		誓う		0,2	發誓、宣誓
ちがう	4		違う		0	不同、不一致
ちがえる	1		違える		0	改變、更改
ちかく	4		近く		1,2	附近、接近
ちかごろ	2		近頃		2	近來、近日
ちかすい	2		地下水		2	地層之下所囤積的雨水
ちかぢか	2		近々		0,2	不久、過幾天
ちかづく	2		近付く		0,3	接近、靠近
ちかづける	2		近付ける		4	使接近
ちかてつ	4		地下鉄		0	地下鐵
ちかよる	2		近寄る		0,3	接近、走近
ちから	3		力		3	力量
ちからづよい	2		力強い		5	有信心的
ちきゅう	2		地球		0	地球
ちぎる	2		千切る//契る		2	撕碎、揪下//約定、宣誓
ちく	2		地区		1,2	地區、地域
ちくさん	1		畜産		0	畜產
ちくしょう	1		畜生		3	畜類
ちくせき	1		蓄積		0	積蓄
ちけい	1		地形		0	地形
ちこく	2		遅刻		0	遲到
ちじ	2		知事		1	知事
ちしき	2		知識		1	知識
ちしつ	2		地質		0,1	地質
ちじん	2		知人		0,1	熟人、朋友
ちず	4		地図		1	地圖
ちせい	1		知性		2	智力、理性
ちたい	2		地帯		0,1,2	地域、地帶
ちち	4		父		1,2	父親
ちち	1		乳		1,2	奶水
ちちおや	2		父親		0	父親
ちぢまる	1		縮まる		0	間隔很短
ちぢむ	2		縮む		0	縮小、縮短、萎縮、收縮
ちぢめる	2		縮める		0	縮小、縮短
ちぢれる	2		縮れる		0	起皺、上捲
ちつじょ	1		秩序		1,2	秩序
ちっそく	1		窒息		0	窒息
ちっとも	3		ちっとも（塵とも）		3	一點也不
チップ	2		chip/tip		1	晶片、馬鈴薯片/小費
ちてき	1		知的		0	理智的
ちてん	2		地点		0,2	地點
ちのう	2		知能		1	智能、智力
ちへいせん	2		地平線		0	地平線
ちほう	2		地方		2	地方
ちめい	2		地名		0	地名
ちゃ	2		茶		0	茶
チャイム	1		chime		1	門鈴、鈴鐘
ちゃいろ	4		茶色		0	棕色
ちゃいろい	2		茶色い		0	茶色的
ちゃく	2		〜着「着く」		1	到達
ちゃく	2		〜着	助数詞	1	〜套
ちゃくしゅ	1		着手		0,1	動手
ちゃくしょく	1		着色		0	著色
ちゃくせき	1		着席		0	就座
ちゃくちゃく	2		着々		0	穩歩而順利的
ちゃくもく	1		着目		0	着眼、看中
ちゃくりく	1		着陸		0	著陸
ちゃっこう	1		着工		0	開工
ちゃのま	1		茶の間		0	(家庭的)飯廳
ちゃのゆ	1		茶の湯		0	茶道
ちやほや	1		ちやほや		1	奉承
ちゃわん	4		茶碗		0	茶碗、飯碗
ちゃん	3		〜ちゃん			表示親愛（「さん」的轉音）
チャンス	2		chance		1	(好)機會
ちゃんと	2		ちゃんと		0	正好、好好的
チャンネル	1		channel		0,1	頻道
ちゅう	4		〜中			〜之中、在〜里面、正在〜中
ちゅう	2		注		0	註
ちゅう	2		中		1	中、中等、中間、中央
ちゅうい（する）	3		注意（する）		1	注意
ちゅうおう	2		中央		3	中央、中心
ちゅうがえり	1		宙返り		3	翻筋斗
ちゅうがく	2		中学		1	國中
ちゅうがっこう	3		中学校		3	國中
ちゅうかん	2		中間		0	中間
ちゅうけい	1		中継		0	中繼
ちゅうこ	2		中古		1	中古
ちゅうこく	1		忠告		0	忠告
ちゅうし（する）	3	*2	中止（する）		0	中止
ちゅうじつ	1		忠実		0,1	忠實、如實
ちゅうしゃ	2		駐車		0	停車
ちゅうしゃ（する）	3		注射（する）		0	注射、打針
ちゅうしゃじょう	3		駐車場		0	停車場
ちゅうじゅん	2		中旬		0,1	中旬
ちゅうしょう	2		抽象		0	抽象
ちゅうしょう	1		中傷		0	中傷
ちゅうしょく	2		昼食		0	午餐
ちゅうしん	2		中心		0	中心
ちゅうすう	1		中枢		0	中樞、中心
ちゅうせい	2		中性		0	中性
ちゅうせい	2		中世		1	中世
ちゅうせん	1		抽選		0	抽籤
ちゅうだん	1		中断		0	中斷
ちゅうと	2		中途		0	中途
ちゅうどく	1		中毒		1	中毒
ちゅうねん	2		中年		0	中年
ちゅうふく	1		中腹		0	半山腰
ちゅうもく	2		注目		0	注目
ちゅうもん	2		注文		0	訂購、要求
ちゅうりつ	1		中立		0	中立
ちゅうわ	1		中和		0	中和
ちょ	1		〜著			著作、著述
ちょう	3	*2	〜町			鎮
ちょう	2		〜兆			兆
ちょう	2		〜長			集團裡的最上位者、長
ちょう	2		〜帳			帳簿
ちょう	2		〜庁			公家機關建築的名稱
ちょう	1		腸		1	腸
ちょう	1		蝶		1	蝴蝶
ちょう〜	2		長〜			長
ちょう〜	1		超〜		1	非常〜
ちょういん	1		調印		0	簽字
ちょうか	2		超過		0	超過
ちょうかく	1		聴覚		0,1	聽覺
ちょうかん	2	*0	朝刊		0	晨報
ちょうかん	1		長官		0	長官
ちょうき	2		長期		1	長期
ちょうこう	1		聴講		0	聽講
ちょうこく	2		彫刻		0	雕刻
ちょうさ	2		調査		1	調查
ちょうし	2		調子		0	調、語調、狀態
ちょうしゅう	1		徴収		0	徴收
ちょうしょ	2		長所		1	優點
ちょうじょ	2		長女		1	長女
ちょうじょう	2		頂上		3	頂點、極點
ちょうしんき	1		聴診器		3	聽診器
ちょうせい	2		調整		0	調整
ちょうせつ	2		調節		0	調節
ちょうせん	1		挑戦		0	挑戰
ちょうだい	2		頂戴		3	〔謙譲語〕收到、領到//講給我…
ちょうたん	2		長短		0,1	長短
ちょうてい	1		調停		0	調停
ちょうてん	2		頂点		1	頂點
ちょうど	4		丁度		0	正好、剛好、整整
ちょうなん	2		長男		1,3	長子
ちょうふく	1		重複		0	重複
ちょうへん	1		長編		0	長編
ちょうほう	1		重宝		1	便利的、重視的
ちょうほうけい	2		長方形		0,3	矩行
ちょうみりょう	2		調味料		3	調味料
ちょうめ	2		〜丁目			第〜條街
ちょうり	1		調理		1	調理
ちょうわ	1		調和		0	調和
チョーク	2		chalk		1	粉筆
ちょきん	2		貯金		0	存款
ちょくご	2		直後		1	緊跟著
ちょくせつ	2		直接		0	直接
ちょくせん	2		直線		0	直線
ちょくぜん	1		直前		0	眼看就…的時候、眼前
ちょくちょく	1		ちょくちょく		1	時常、常常
ちょくつう	2		直通		0	直達
ちょくめん	1		直面		0	面對
ちょくりゅう	2		直流		0	直流
ちょしゃ	2		著者		1	作者
ちょしょ	1		著書		0	著作
ちょぞう	2		貯蔵		0	儲藏
ちょちく	1		貯蓄		0	儲蓄
ちょっかく	2		直角		0	直角
ちょっかん	1		直感		0	直接察覺到
ちょっけい	1		直径		0	直徑
ちょっと	4		一寸		1	稍微、一點、等一下
ちょめい	1		著名		0	有名
ちらかす	2		散らかす		0	亂扔
ちらかる	2		散らかる		0	零亂、亂七八糟
ちらす	2		散らす		0	分散開、使消散
ちらっと	1		ちらっと		2	稍微、一晃、一閃
ちり	3		地理		1	地理
ちり	1		塵		0,2	塵埃、垃圾
ちりがみ	2		塵紙		0	衛生紙
ちりとり	1		塵取		3,4	畚箕、畚斗
ちりょう	1		治療		0	治療
ちる	2		散る		0	落、謝
ちんぎん	1		賃金		1	租金、工資
ちんでん	1		沈澱		0	沉澱
ちんぼつ	1		沈没		0	沉沒
ちんもく	1		沈黙		0	沉默
ちんれつ	1		陳列		0	陳列
つい	2		対		0	對、雙
つい	2		遂		1	相距不遠、不知不覺
ついか	2		追加		0	追加、補加
ついきゅう	1		追及		0	追究、追問
ついせき	1		追跡		0	追蹤
ついたち	4		一日		4	一號
（に）ついて	3		（〜に）就いて		1	關於
ついで	2		序		0	順便、有機會
ついに	2		遂に		1	終於、終究
ついほう	1		追放		0	驅逐
ついやす	1		費やす		3	花費、耗費
ついらく	1		墜落		0	從高處掉下
つう	2		通		1	精通、內行
つうか	2		通過		0	通過
つうか	2		通貨		1	流通的貨幣
つうがく	2		通学		0	通學
つうかん	1		痛感		0	痛感、強烈感受到
つうきん	2		通勤		0	通勤
つうこう	2		通行		0	通行、往來
つうじょう	1		通常		0	平常、通常
つうじる．ずる	2		通じる・通ずる		0	通、相通
つうしん	2		通信		0	通信、通訊、通音信
つうせつ	1		痛切		0	深切、切身
つうち	2		通知		0	通知
つうちょう	2		通帳		0	(存款、帳簿、配給等的)帳簿、憑單
つうやく	2		通訳		1	通譯員、口譯
つうよう	2		通用		0	通用、有效
つうろ	2		通路		1	通行的道路
つえ	1		杖		1	拐杖
づかい	2		〜遣い			派去的人、使者
つかいみち	1		使い道		0	用法、用途
つかう	4		使う		0	使用
つかえる	1		仕える		0	服侍、侍奉
つかさどる	1		司る		4	掌管、管理
つかのま	1		束の間		0	一剎那
つかまえる	3		捕まえる		0	抓住、抓到、捉拿
つかまる	2		捕まえる		0	被捉住、被捕獲
つかむ	2		掴む		2	抓住、獲得
つかれ	2		疲れ		3	疲憊
つかれる	4		疲れる		3	疲勞、疲憊
つき	3		月「月と太陽」		2	月、月亮
つき	3		〜月			〜個月
つき	2		〜付			附
つぎ	4		次		2	下一個、接下來
つきあい	2		付合い		0,3	交往
つきあう	2		付合う		3	交往、交際
つきあたり	2		突き当たり		0	碰上、走到頭
つきあたる	2		突き当たる		4	碰上、當住
つぎつぎ‧に	2		次々・次々に		2	一個接一個
つきなみ	1		月並		0	平凡
つきひ	2		月日		2	日月
つぎめ	1		継ぎ目		0	接縫
つきる	1		尽きる		2	盡
つく	4		着く		1	到達
つく	3		点く「電灯がつく」		1	燈亮
つく	2		付く//着く//就く//点く		0	沾上、附有//到達//就//點著
つく	2		突く		0,1	扎
つぐ	2		次ぐ		0	接著、次於
つぐ	2		注ぐ		0	注入
つぐ	1		接ぐ		0	接
つぐ	1		継ぐ		0	繼承、接上
つくえ	4		机		0	桌子
つくす	1		尽す		2	盡做
つくづく	1		熟々		0	仔細地、深刻地
つぐない	1	*0	償い		0,3	補償、賠償、贖罪
つくり	1		作り//造り		3	做、製作、體格//構造、結構、生魚片
つくる	4		作る		2	做、作、製作
つくる	3		作る		2	作
つくる	2		造る		2	製造、建造、組成
つくろう	1		繕う		3	修補
つけくわえる	1		付け加える		0,5	加、補充、附加
つける	4		点ける「電灯をつける」		2	開(燈)
つける	3		漬ける		0	醃
つける	3		付ける「気をつける」		2	加上、安上
つける	2		浸ける		0	浸
つける	2		着ける		2	點上、打開
つげる	1		告げる		0	告訴
つごう	3		都合		0	情況、總共
つじつま	1		辻褄「話の〜」		0	條理
つたえる	3		伝える		0	傳達
つたわる	2		伝わる		0	傳
つち	2		土		0	土、土壌
つつ	1		筒		0	筒
つづき	2		続き		0	繼續、連續
つづく	3		続く		0	繼續、相連
つつく//つっつく	1		突付く		2	扎、啄
つづける	3		続ける		0	持續
つづける	3	*2	〜続ける			持續
つっこむ	2		突っ込む		3	深入、冲入、介入
つつしむ	1		謹む		3	謹慎
つっぱる	1		突っ張る		3	頂住、緊綳、固執己見
つつみ	2		包み		3	包
つつむ	3		包む		2	包、包圍
つとまる	1		務まる		3	能擔任
つとめ	2		勤め//務め		3	工作//擔任
つとめさき	1		勤め先		0	工作地點
つとめて	1		努めて		2	盡量
つとめる	4		勤める		3	工作、擔任
つとめる	2		勤める‧務める‧努める		3	工作//任//努力
つな	2		綱		2	繩索
つながり	2		繋がり		0	相連、關係
つながる	2		繋がる		0	相連、連結
つなぐ	2		繋ぐ		0	連接
つなげる	2		繋げる		0	能連接
つなみ	1		津波		0	海嘯
つねに	2		常に		1	經常
つねる	2		抓る		2	擰、捏
つの	1		角		2	角
つのる	1		募る		2	越來越厲害
つば	2		唾		1	唾液
つばさ	1		翼		1	鳥的翅膀
つぶ	2		粒		1	粒、顆粒
つぶす	2		潰す		0	壓壞、擠壞
つぶやく	1		呟く		3	發牢騷
つぶら	1		円らな		0	圓
つぶる	1		瞑る『目を』〜		0	閉目、瞑目
つぶれる	2		潰れる		0	弄壞、壓壞、破產
つぼ	1		壷		0	壺、罐
つぼみ	1		蕾		3	花苞、花蕾
つま	3		妻		1	妻
つまずく	2		躓く		0	絆倒
つまむ	1		摘む		0	摘
つまらない	4		詰まらない		3	無聊的、沒趣的
つまり	2		詰まり		1	也就是
つまる	2		詰る		2	擠滿、塞滿
つみ	2		罪		1	罪過
つむ	2		積む		0	堆積起來
つむ	1		摘む		0	摘、掐、採
つめ	3		爪		0	爪、指甲
つめたい	4		冷たい		0	涼、冷、冷淡
つめる	2		詰める		2	塞、填、待機
つもり	3		積もり		0	打算
つもる	3		積もる		2	堆積
つや	2		艶		0	光澤、光亮
つゆ	2		梅雨		2	梅雨
つゆ	1		露		1	露水
つよい	4		強い		2	強、有力、強韌
つよき	2		強気		3	剛強
つよまる	1		強まる		3	大起來、增強
つよめる	1		強める		3	加強、增強
つらい	2		辛い		0	痛苦、難受
づらい	2		〜辛い			難、不便
つらなる	1		連なる		3	連接、成行
つらぬく	1		貫く		3	貫穿
つらねる	1		連ねる		3	排成、連接
つり	2		釣「fishing」		0	釣魚
つり	2		釣「釣銭」		0	零銭
つりあう	2		釣り合う		3	相配
つりがね	1		釣鐘		0	吊鐘
つりかわ	1		吊革		0	吊環
つる	3		釣る「fishing」		0	釣
つる	2		吊る		0	懸掛
つるす	2		吊るす		0	吊掛
つれ	2		連れ		2	同伴
つれる	3		連れる		0	帶領
て	4		手		1	手
で	2		で	接続詞	1	那麼
であい	2		出会い、出合い		0	碰見
であう	2		出会う、出合う		2	遇見
てあて	1		手当て		1	工資
てあらい	2		手洗い		2	洗手
てい〜	2		低〜			低
ていあん	2		提案		0	建議
ていいん	2		定員		0	規定的人數
ていか	2		定価		0	定價
ていか	2		低下		0,1	低落
ていき	2		定期		1	定期、固定期、定期車票
ていぎ	1		定義		1,3	定義
ていきけん	2		定期券		3	定期車票
ていきゅうび	2		定休日		3	公休日
ていきょう	1		提供		0	提供
ていけい	1		提携		0	提攜、合作
ていこう	2		抵抗		0	抵抗、反抗、抗拒、阻力、反作用力、電阻
ていさい	1		体裁		0	樣子、外表、體面、體統、格局、形式、奉承話
ていし	2		停止		0	停止、(車、馬等)停住、停頓
ていじ	1		提示		0,1	提示、出示(作為證據用的東西)、向對方提供自己的音見
ていしゃ	2		停車		0	停車
ていしゅつ	2		提出		0	提出、提交
ティシュペーパー	0	*1	tissuepaper		3	衛生紙、紙手帕
ていしょく	1		定食		0	定食、客飯
ていせい	1		訂正		0	訂正
ていたい	1		停滞		0	停滯、停頓、滯銷
ていたく	1		邸宅		0	邸宅、公館
ティッシュ（ペーパー）	1		tissuepaper		1(4)	衛生紙、紙手帕
ていでん	2		停電		0	停電
ていど	2		程度		0,1	程度、水平、水準、限度
ていねい	3		丁寧		1	有禮貌、恭恭敬敬、鄭重其事、小心謹慎、非常仔細
ていねん	1		定年		0	退休的年齡
ていぼう	1		堤防		0	堤防、提壩
ていり	1	*0	定理		1	定理
